,user,item,buy_size,sex,height,weight,review,size,brightness,color,thickness
52,LV 4 뉴비_a5d7c7cf1b48,테이퍼드 히든 밴딩 크롭 슬랙스 [그레이],27,남성, 166cm, 56kg,블레이저랑 함께 입으면 코디하기 좋은 것 같아요  깔끔하게 입기 굿 ,보통이에요,어두워요,보통이에요,보통이에요
53,LV 4 뉴비_a5d7c7cf1b48,테이퍼드 히든 밴딩 크롭 슬랙스 [브라운],27,남성, 166cm, 56kg,가을에 깔끔하게 입기 좋아요  약간 기장이 길어서 수선하면 더 좋을 것 같네요 ,보통이에요,보통이에요,선명해요,보통이에요
54,LV 4 도미노ㅂ,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],31,남성, 168cm, 63kg,사이즈 작게 나왔다고 해서 원래 30입는 거 31로 샀는데 30사도 될 거 같네요,보통이에요,밝아요,선명해요,보통이에요
55,LV 4 Premierleague,테이퍼드 히든 밴딩 크롭 슬랙스 [크림],32,남성, 181cm, 69kg,네이비 셔츠랑 같이 입었더니 찰떡이네요    의심하지 않았다 무탠  ,보통이에요,보통이에요,보통이에요,보통이에요
56,LV 3 뉴비_9f552dec,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],27,남성, 169cm, 56kg,시이즈도 적당하고 이쁘게 입을수 있을거 같습니다,보통이에요,보통이에요,보통이에요,보통이에요
57,LV 3 딱딱한 성현,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],34,남성, 186cm, 88kg,바지가 이쁘네요 자주 입을듯 합니다 가격도 넘 좋네요,보통이에요,보통이에요,보통이에요,보통이에요
58,LV 3 뉴비_b55b5fdc,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 183cm, 76kg,슬림핏 바지로 핏 너무 좋아요 교복마냥 입고 다닐 듯,보통이에요,보통이에요,보통이에요,보통이에요
59,LV 3 뉴비_d0be4dc1,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 176cm, 75kg,오랜만에 슬랙스 구매했는데 가성비 좋습니다 여름에는 많이 더울것 같아요,보통이에요,어두워요,보통이에요,보통이에요
60,LV 5 성대경제,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],31,남성, 173cm, 68kg,허리 넉넉하게 입으려고 31사는데 보통 31사면 허리도 여유있는데 이거는 테이퍼드인데도 허벅지가 슬림해요그거랑 별개로 원단감 좋고 싼티 안나는거는 좋아요,작아요,보통이에요,보통이에요,보통이에요
61,LV 5 뉴비_d62cec4a,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,여성, 173cm, 65kg,무신사 블레이저랑 셋업으로 입었습니다  가성비는 역시 무탠다드 못 이기네요 ,보통이에요,보통이에요,선명해요,보통이에요
62,LV 5 르닝98,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],28,남성, 173cm, 47kg,쌉멸치스펙 기준에도 통 쌉좁읍니다 얇고 쫙쫙 늘어나고 좋읍니다,작아요,보통이에요,선명해요,얇아요
63,LV 5 .Allday,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],31,남성, 177cm, 68kg,제품 상태 무난히 좋습니다  잘 활용해서 입어볼께요  ,보통이에요,보통이에요,보통이에요,보통이에요
64,LV 5 .Allday,테이퍼드 히든 밴딩 크롭 슬랙스 [베이지],30,남성, 177cm, 68kg,제품 상태 무난히 좋습니다  잘 활용해서 입어볼께요  ,작아요,보통이에요,보통이에요,보통이에요
65,LV 5 .Allday,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 177cm, 68kg,제품 상태 무난히 좋습니다  잘 활용해서 입어볼께요  ,보통이에요,보통이에요,보통이에요,보통이에요
66,LV 5 .Allday,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 그레이],31,남성, 177cm, 68kg,제품 상태 무난히 좋습니다  잘 활용해서 입어볼께요  ,보통이에요,보통이에요,보통이에요,보통이에요
67,LV 3 뀨오잉영,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],28,여성, 165cm, 50kg,사이즈가 슬림하게 떨어집니다 기장 수선 안해도 되서 좋네요 가을에 입기 좋은 것 같습니다 ,보통이에요,보통이에요,보통이에요,보통이에요
68,LV 3 뉴비_7ad2a5de2c0a,테이퍼드 히든 밴딩 크롭 슬랙스 [크림],33,남성, 178cm, 70kg,생각보다 밝고 기장이 적당해서 입기 편하고 밝은 느낌을 줄 수 있습니다 ,보통이에요,밝아요,선명해요,보통이에요
69,LV 5 DLDLDLDLDLDLDLD,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],34,남성, 179cm, 71kg,컬러두 이쁘고 기장도 적당해요 허벅지 크신분들은 허리수선하세용,보통이에요,보통이에요,보통이에요,보통이에요
70,LV 5 qkreodl,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],29,남성, 170cm, 68kg,기본 슬랙스라서 어디에도 코디하기 편해요신축성있어서 좋습니다,보통이에요,보통이에요,선명해요,보통이에요
71,LV 3 dobbya,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],29,남성, 171cm, 66kg,한사이즈 업 할걸 그랬어요 허벅지부분이 좀 작네요 마른체형분들한테 어울릴거같아요 저한테는 약간 타이트해요 클래식한 느낌으로 입어야될거같아요 기장은 적당해요 ,작아요,보통이에요,선명해요,보통이에요
72,LV 4 뉴비_5de1342,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],31,남성, 175cm, 73kg,바지 정말 이쁘고 맘에드네요 색깔 별로 사고있어요,보통이에요,보통이에요,보통이에요,보통이에요
73,LV 3 뉴비_e549ea64,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,남성, 178cm, 76kg,아주 기본으로 핏도 괜찮고  나름 신경써야하는 자리에 좋습니다 ,보통이에요,보통이에요,보통이에요,보통이에요
74,LV 4 약쟁아,테이퍼드 히든 밴딩 크롭 슬랙스 [그레이],32,남성, 176cm, 70kg,배송 빠르고 한사이즈 업하는게 잘맞는거 같아요 ,보통이에요,보통이에요,보통이에요,보통이에요
75,LV 4 김여비,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],30,남성, 178cm, 69kg,슬랙스가 필요해서 주문을 했는데  기본중에 기본입니다  두께감은 좀 있네욤 ,보통이에요,보통이에요,보통이에요,보통이에요
76,LV 3 뉴비_17f44a7d,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],33,남성, 180cm, 78kg,너무너무 예쁩니다 색감도 예쁘고 찰떡이에요 요즘 입기에 딱입니다,보통이에요,보통이에요,보통이에요,보통이에요
77,LV 2 뉴비_95f88e16,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],34,남성, 177cm, 85kg,밑단 수정할필요없이 입어도 핏이딱입니다 추천드려요  ,보통이에요,보통이에요,보통이에요,보통이에요
78,LV 3 유니유니유니유니윤,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],33,남성, 174cm, 72kg,제품편하고 좋습니다 만족합니다  하지만 한사이즈 업 추천합니다,작아요,보통이에요,보통이에요,두꺼워요
79,LV 3 BumGrum,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 184cm, 90kg,좋습니다 너무예쁘고 클래식해서 쓰기좋아요 추천,보통이에요,보통이에요,보통이에요,보통이에요
80,LV 3 뉴비_dbd939ba,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 176cm, 70kg,사이즈도 그렇고 제가 원하던 스타일이라서 좋은거같아요기본템은 무탠다드가 답인거같ㄴㅔ요,보통이에요,보통이에요,보통이에요,보통이에요
81,LV 3 푸키막,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],33,남성, 177cm, 68kg,기장이랑 밑단 수선없이 그대로 입어도 되네요허리만 약간 큽니다,보통이에요,보통이에요,보통이에요,보통이에요
82,LV 5 Euihyun,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 그레이],33,남성, 180cm, 71kg,너무 만족합니다 그레이 색상 원하시면 추천드려요 ,보통이에요,밝아요,선명해요,보통이에요
83,LV 3 김짱우,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],30,남성, 168cm, 67kg,입었을 때 편하고 핏도 예뻐서 가성비 아주 좋아요 ,보통이에요,보통이에요,보통이에요,보통이에요
84,LV 3 뉴비스트777,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],34,남성, 174cm, 65kg,착용감과 재질이 좋고  핏이 사는 느낌이 좋습니다  ,보통이에요,보통이에요,보통이에요,보통이에요
85,LV 6 승로찡,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 177cm, 64kg,살쪄서 하나 더 큰 치수 샀어요  무난하고 좋아요 완전,보통이에요,보통이에요,보통이에요,보통이에요
86,LV 3 뉴비_425e99eede64,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],27,남성, 165cm, 48kg,165 48키로 핏입니다 싸이즈가 굉장히 작게 나온거같아요 싸이즈교환하려했는데그래도 아들이 맘에든다고 그냥입기로했습니다 가격도 저렴히 잘산거같아요 ,작아요,보통이에요,보통이에요,보통이에요
87,LV 5 우주최강끼끼,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],34,남성, 175cm, 70kg,바지 핏이 대박이에요 진짜 무탠다드 박박 짜아아앙,보통이에요,보통이에요,보통이에요,보통이에요
88,LV 5 우주최강끼끼,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],34,남성, 175cm, 70kg,바지 핏이 대박이에요 진짜 무탠다드 박박 짜아아앙,보통이에요,보통이에요,보통이에요,보통이에요
89,LV 6 hgh1,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 177cm, 75kg,무난하게 입고다니기 좋아여전에샀던게 많이 헤져서 똑같은거 또샀어요,보통이에요,보통이에요,보통이에요,보통이에요
90,LV 3 뉴비_967380255ea2,테이퍼드 히든 밴딩 크롭 슬랙스 [딥 블루],31,남성, 174cm, 70kg,옷원단도 좋구 허리도 잘 맞고 너무 붙지않고 와이드하지않은 제가 딱 원하던 핏이에요  네이비보다 좀더 진하고 색이 더 이뻐요,보통이에요,보통이에요,보통이에요,보통이에요
91,LV 3 뉴비_967380255ea2,테이퍼드 히든 밴딩 크롭 슬랙스 [베이지],31,남성, 174cm, 70kg,옷원단도 좋구 허리도 잘 맞고 너무 붙지않고 와이드하지않은 제가 딱 원하던 핏이에요 ,보통이에요,보통이에요,보통이에요,보통이에요
92,LV 3 노페피,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],30,남성, 174cm, 64kg,어디에도 무난하고 좋아요 ㅎㅎ 사이즈는 조금 딱맞는 편인듯 ,보통이에요,보통이에요,보통이에요,두꺼워요
93,LV 3 jumtto,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],29,남성, 178cm, 65kg,기본핏 너무 좋아요길이도 딱 맞아서 이바지만 블랙으로 두개 쟁이고다른컬러들도 사고 있어요추천합니다,보통이에요,보통이에요,보통이에요,보통이에요
94,LV 5 j.k.d,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],28,남성, 170cm, 60kg,누구에게나 잘 어울리고 잘나온 상품인것 같다 굿,작아요,보통이에요,보통이에요,보통이에요
95,LV 4 멤버_b43421bc5a83,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],33,남성, 173cm, 76kg,너무 편하고 핏이 좋아요 딱 원하는 기장에 넓이라 너무 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
96,LV 4 멤버_b43421bc5a83,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],33,남성, 173cm, 76kg,너무 편하고 핏이 좋아요 딱 원하는 기장에 넓이라 너무 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
97,LV 5 트랠,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],28,남성, 176cm, 62kg,가성비 좋은거 찾으실거면 그냥 무탠다드 쓰세요 저 기준 잘 맞습니다,보통이에요,보통이에요,보통이에요,보통이에요
98,LV 6 univ255,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,남성, 180cm, 70kg,기본템은 무탠다드 자주사는데 맘에 항상 들어요,보통이에요,보통이에요,보통이에요,보통이에요
99,LV 6 univ255,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 180cm, 70kg,기본템은 무탠다드 자주사는데 맘에 항상 들어요,보통이에요,보통이에요,보통이에요,보통이에요
100,LV 3 뉴비_cea14c6b,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],31,남성, 183cm, 63kg,살짝 짧지만 입을만합니다더 큰거 사면 허리가 부해보일테니까요 ㅠ,보통이에요,밝아요,선명해요,보통이에요
101,LV 5 사랑꾼정원이,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],28,남성, 166cm, 57kg,역시 무신사입니다 옷 넘 이쁘고 편해여 흥해라 무싱사,보통이에요,보통이에요,보통이에요,보통이에요
102,LV 5 친구얌,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],29,남성, 170cm, 63kg,편하고 좋아요 다만 다리가 짧아서 기장 수선했어요,보통이에요,보통이에요,보통이에요,보통이에요
103,LV 3 상근병,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 176cm, 68kg, 무신사 슬랙스는 처음 사봤는데 괜찮네요  다만 기장이 짧아서 2 3 정도 늘렸습니다,보통이에요,보통이에요,보통이에요,보통이에요
104,LV 3 뉴비_e78643ca99cd,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 171cm, 75kg,허벅지 살짝 굵으신분들 32추천핏감 좋고 원단 부드럽고 좋아요편하게 입기도 좋고 코디하기도 좋아요 ,보통이에요,보통이에요,보통이에요,보통이에요
105,LV 4 이지브로21,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],30,남성, 168cm, 64kg,지금 날씨에 딱 입기 알맞은 자켓 사이즈와 두꺼움입니다,보통이에요,보통이에요,보통이에요,보통이에요
106,LV 3 너란병아리,테이퍼드 히든 밴딩 크롭 슬랙스 [베이지],32,남성, 174cm, 72kg,깔끔하고 이쁘게 잘 나왔습니다가성비 생각하면 너무 맘에 드네요기분탓인지 모르겠지만같이 샀던 그레이보다 옷이 더 편한 느낌입니다,보통이에요,보통이에요,보통이에요,보통이에요
